mode,redundancy_r,num_kv_pairs,final_accuracy,final_accuracy_redundant,final_accuracy_non_redundant,num_parameters,tokens_per_sec
delta,0.0,4,0.995849609375,,0.995849609375,133864,26248
delta,0.0,8,0.99609375,,0.99609375,133864,25446
delta,0.0,16,0.964599609375,,0.964599609375,133864,26603
delta,0.0,32,0.6552734375,,0.6552734375,133864,25964
delta,0.0,64,0.02685546875,,0.02685546875,133864,26871
gated_delta,0.0,4,0.993896484375,,0.993896484375,134384,25957
gated_delta,0.0,8,0.9942626953125,,0.9942626953125,134384,24868
gated_delta,0.0,16,0.952392578125,,0.952392578125,134384,25687
gated_delta,0.0,32,0.751220703125,,0.751220703125,134384,24533
gated_delta,0.0,64,0.0286865234375,,0.0286865234375,134384,25110
linear,0.0,4,0.440185546875,,0.440185546875,133344,40944
linear,0.0,8,0.23193359375,,0.23193359375,133344,37460
linear,0.0,16,0.0958251953125,,0.0958251953125,133344,42177
linear,0.0,32,0.0367431640625,,0.0367431640625,133344,40022
linear,0.0,64,0.0145263671875,,0.0145263671875,133344,38345
